ticker,CAR Date,Price Date,Price,-120D,-25D,75D,150D,Gain,Gain Date,Pain,Pain Date,up_10,up_20,up_30,down_10,down_20,down_30,cum_ret_exit_20,ret_date_20,cum_ret_exit_30,ret_date_30,Action,cum_ret_exit_20_down_10,ret_date_20_down_10,cum_ret_exit_30_down_10,ret_date_30_down_10,Action_down_20,cum_ret_exit_20_down_20,ret_date_20_down_20,cum_ret_exit_30_down_20,ret_date_30_down_20,Action_down_30,cum_ret_exit_20_down_30,ret_date_20_down_30,cum_ret_exit_30_down_30,ret_date_30_down_30,Action_move_10,cum_ret_exit_20_move_10,ret_date_20_move_10,cum_ret_exit_30_move_10,ret_date_30_move_10,Action_move_20,cum_ret_exit_20_move_20,ret_date_20_move_20,cum_ret_exit_30_move_20,ret_date_30_move_20,Action_move_30,cum_ret_exit_20_move_30,ret_date_20_move_30,cum_ret_exit_30_move_30,ret_date_30_move_30
IART,2025-07-01,2025-08-01,12.3100004196167,-0.5118952912461694,0.008190039406822613,,,0.29894388513888015,24.0,0.0,0.0,7.0,15.0,,,,,0.0746187045838883,999.0,0.0746187045838883,999.0,,,,,,,,,,,,,,,,7.0,0.0746187045838883,999.0,0.0746187045838883,999.0,15.0,0.02102963825386696,999.0,0.02102963825386696,999.0,,,,,
IRWD,2025-03-01,2025-04-01,1.409999966621399,-0.648379080762654,-0.18965519603830527,-0.46099290180527674,,0.021276660503010802,1.0,-0.5957446763539576,45.0,,,,5.0,5.0,8.0,-0.35643566109341607,9.0,-0.35643566109341607,9.0,7.0,0.3069307573425244,104.0,0.3069307573425244,104.0,7.0,0.3069307573425244,104.0,0.3069307573425244,104.0,8.0,0.38947375685884733,104.0,0.38947375685884733,104.0,7.0,0.3069307573425244,104.0,0.3069307573425244,104.0,7.0,0.3069307573425244,104.0,0.3069307573425244,104.0,8.0,0.38947375685884733,104.0,0.38947375685884733,104.0
LTH,2024-06-01,2024-07-01,18.45999908447266,0.2489850756419254,0.15374994277954124,0.38678232129506274,0.6522211003604328,0.6549296182120186,149.0,0.0,0.0,10.0,23.0,34.0,,,,0.6053598599446879,149.0,0.6053598599446879,149.0,,,,,,,,,,,,,,,,10.0,0.4866180229323642,149.0,0.4866180229323642,149.0,23.0,0.3668903228471261,149.0,0.3668903228471261,149.0,34.0,0.2639635556734703,149.0,0.2639635556734703,149.0
MATV,2025-01-01,2025-02-01,8.9151611328125,-0.4893154882836549,-0.17901237766387523,-0.37457649709720264,0.3740637793874002,0.4099576561280518,144.0,-0.4992238097846179,53.0,131.0,132.0,136.0,12.0,13.0,19.0,-0.21956763635626153,13.0,-0.32081916463792737,19.0,12.0,0.7572564689058758,144.0,0.7572564689058758,144.0,13.0,0.9135138376103189,144.0,0.9135138376103189,144.0,19.0,1.1987783656396966,144.0,1.1987783656396966,144.0,12.0,0.7572564689058758,144.0,0.7572564689058758,144.0,13.0,0.9135138376103189,144.0,0.9135138376103189,144.0,19.0,1.1987783656396966,144.0,1.1987783656396966,144.0
MEI,2024-07-01,2024-08-01,11.19884777069092,-0.4197079653522032,0.232022285181668,-0.20788415548091732,-0.47357713970969384,0.19413578125842212,88.0,-0.47357713970969384,150.0,88.0,,,2.0,59.0,148.0,0.42552966539995096,88.0,0.42552966539995096,88.0,7.0,0.42552966539995096,88.0,0.42552966539995096,88.0,59.0,0.5239131540441775,88.0,0.5239131540441775,88.0,148.0,-0.062082137687811234,999.0,-0.062082137687811234,999.0,7.0,0.42552966539995096,88.0,0.42552966539995096,88.0,59.0,0.5239131540441775,88.0,0.5239131540441775,88.0,148.0,-0.062082137687811234,999.0,-0.062082137687811234,999.0
MMI,2025-03-01,2025-04-01,34.90999984741211,-0.018105103007556744,-0.08385468608814528,-0.113720977677082,,0.0,0.0,-0.19793755020380932,36.0,,,,4.0,,,0.09321468904689345,112.0,0.09321468904689345,112.0,7.0,0.09321468904689345,112.0,0.09321468904689345,112.0,,,,,,,,,,,7.0,0.09321468904689345,112.0,0.09321468904689345,112.0,,,,,,,,,,
MODV,2024-06-01,2024-07-01,27.05999946594238,-0.37201208238294203,-0.032534854120558454,-0.3636363764519833,-0.8433111657502206,0.1858832515121167,48.0,-0.8580931267569933,148.0,44.0,,,5.0,23.0,51.0,-0.21355398957902216,25.0,0.2643814505003559,48.0,7.0,0.2643814505003559,48.0,0.2643814505003559,48.0,23.0,0.513679198006713,48.0,0.513679198006713,48.0,51.0,0.4741378627381656,113.0,0.4741378627381656,113.0,7.0,0.2643814505003559,48.0,0.2643814505003559,48.0,23.0,0.513679198006713,48.0,0.513679198006713,48.0,51.0,0.4741378627381656,113.0,0.4741378627381656,113.0
MRCY,2024-09-01,2024-10-01,37.88999938964844,0.3243620615631593,0.013643614418412442,0.15017161607452434,0.2148323969588739,0.35814198768584715,146.0,-0.1462127475526136,22.0,26.0,86.0,86.0,16.0,,,0.4520316331414975,146.0,0.4520316331414975,146.0,16.0,0.522485214379784,146.0,0.522485214379784,146.0,,,,,,,,,,,16.0,0.522485214379784,146.0,0.522485214379784,146.0,86.0,0.03167598200729427,146.0,0.03167598200729427,146.0,86.0,0.03167598200729427,146.0,0.03167598200729427,146.0
MXL,2024-12-01,2025-01-01,19.675000190734863,-0.11573032850629827,0.2660875314692579,-0.44040660116148056,-0.23405339015341808,0.26658194839708327,11.0,-0.53494284473557,65.0,8.0,10.0,,18.0,35.0,39.0,-0.20483099141029693,24.0,-0.3115942282711073,35.0,18.0,-0.23599207128528432,999.0,-0.23599207128528432,999.0,35.0,0.2147368046275353,141.0,0.2147368046275353,141.0,39.0,0.263503628243545,141.0,0.263503628243545,141.0,8.0,-0.3725507891826815,999.0,-0.3725507891826815,999.0,10.0,-0.42293683229992624,999.0,-0.42293683229992624,999.0,39.0,0.263503628243545,141.0,0.263503628243545,141.0
SBGI,2025-02-01,2025-03-01,13.491821765899655,0.08931724253800843,-0.05106804142132915,-0.0478189660208741,,0.21418537893769174,14.0,-0.13087066236178646,110.0,10.0,14.0,,110.0,,,0.019822870998313764,999.0,0.019822870998313764,999.0,110.0,0.18033073049254655,999.0,0.18033073049254655,999.0,,,,,,,,,,,10.0,-0.060716371451379585,999.0,-0.060716371451379585,999.0,14.0,-0.14184364204350505,999.0,-0.14184364204350505,999.0,,,,,
SLAB,2025-03-01,2025-04-01,114.2099990844727,-0.0027069295117070347,-0.20846902488941343,0.2818491819459972,,0.34384026755854613,64.0,-0.2455126621162852,5.0,28.0,48.0,58.0,2.0,4.0,,0.7403332745059368,64.0,0.7403332745059368,64.0,7.0,0.7403332745059368,64.0,0.7403332745059368,64.0,7.0,0.7403332745059368,64.0,0.7403332745059368,64.0,,,,,,7.0,0.7403332745059368,64.0,0.7403332745059368,64.0,7.0,0.7403332745059368,64.0,0.7403332745059368,64.0,58.0,-0.07494832770993608,999.0,-0.07494832770993608,999.0
SMTC,2025-01-01,2025-02-01,65.20999908447266,1.200067490799166,0.037054675203224585,-0.40944642137400467,-0.05566626751084125,0.0191688394042262,2.0,-0.6267443567809594,53.0,,,,4.0,5.0,5.0,-0.23574354535555164,43.0,-0.33587996891620353,53.0,7.0,0.6802182610435217,150.0,0.6802182610435217,150.0,7.0,0.6802182610435217,150.0,0.6802182610435217,150.0,7.0,0.6802182610435217,150.0,0.6802182610435217,150.0,7.0,0.6802182610435217,150.0,0.6802182610435217,150.0,7.0,0.6802182610435217,150.0,0.6802182610435217,150.0,7.0,0.6802182610435217,150.0,0.6802182610435217,150.0
SNAP,2024-12-01,2025-01-01,11.005000114440914,-0.3277336866064403,-0.036339751232971396,-0.27487506259977057,-0.3466606104087504,0.1422080476246148,2.0,-0.3466606104087504,150.0,2.0,,,39.0,47.0,65.0,-0.21869492614995123,45.0,-0.3183421591657183,64.0,39.0,0.05936539370836624,136.0,0.05936539370836624,136.0,47.0,0.23655920226794502,136.0,0.23655920226794502,136.0,65.0,0.43153531869507056,136.0,0.43153531869507056,136.0,7.0,-0.18960049019662806,999.0,-0.18960049019662806,999.0,47.0,0.23655920226794502,136.0,0.23655920226794502,136.0,65.0,0.43153531869507056,136.0,0.43153531869507056,136.0
SPHR,2024-05-01,2024-06-01,37.125,0.15870783205902939,-0.08220026452968177,0.1515151515151516,0.12619532318629023,0.34868686046664554,57.0,-0.124848439637258,14.0,25.0,29.0,52.0,13.0,,,0.35948947069032444,57.0,0.35948947069032444,57.0,13.0,0.5045072575535132,57.0,0.5045072575535132,57.0,,,,,,,,,,,13.0,0.5045072575535132,57.0,0.5045072575535132,57.0,29.0,0.12239405984687846,57.0,0.12239405984687846,57.0,52.0,-0.1326696669311036,999.0,-0.1326696669311036,999.0
SSP,2025-03-01,2025-04-01,3.029999971389771,0.23673465812965988,0.7719297683017625,0.07590759777069955,,0.36963700810332023,68.0,-0.36303631492686794,21.0,65.0,67.0,67.0,2.0,3.0,8.0,0.8693693882361915,68.0,0.8693693882361915,68.0,7.0,0.8693693882361915,68.0,0.8693693882361915,68.0,7.0,0.8693693882361915,68.0,0.8693693882361915,68.0,8.0,1.0343138102795812,68.0,1.0343138102795812,68.0,7.0,0.8693693882361915,68.0,0.8693693882361915,68.0,7.0,0.8693693882361915,68.0,0.8693693882361915,68.0,8.0,1.0343138102795812,68.0,1.0343138102795812,68.0
TBI,2025-04-01,2025-05-01,4.380000114440918,-0.40245563983220534,-0.21645796155959018,0.35159815562004826,,0.7534245725285629,56.0,-0.12328771373571845,3.0,8.0,8.0,12.0,3.0,,,0.6516128324362471,56.0,0.6516128324362471,56.0,7.0,0.6516128324362471,56.0,0.6516128324362471,56.0,,,,,,,,,,,7.0,0.6516128324362471,56.0,0.6516128324362471,56.0,8.0,0.3963636051524768,56.0,0.3963636051524768,56.0,12.0,0.2799999713897705,56.0,0.2799999713897705,56.0
TTEC,2024-08-01,2024-09-01,5.045000076293945,-0.5524873735760881,-0.37716051374079795,-0.07036670241921372,-0.21506442452702845,0.20118926682578242,28.0,-0.3815659388748647,131.0,19.0,28.0,,3.0,14.0,105.0,0.5,28.0,0.5,28.0,7.0,0.09955996485345532,999.0,0.09955996485345532,999.0,14.0,0.10769147396221784,999.0,0.10769147396221784,999.0,105.0,0.4297993574448524,145.0,0.4297993574448524,145.0,7.0,0.09955996485345532,999.0,0.09955996485345532,999.0,14.0,0.10769147396221784,999.0,0.10769147396221784,999.0,105.0,0.4297993574448524,145.0,0.4297993574448524,145.0
VFC,2024-08-01,2024-09-01,18.02783489227295,0.1652222887664354,0.1299571581697514,0.21270067984566898,-0.31986798250382,0.46777661662052483,102.0,-0.4666275734908064,149.0,23.0,41.0,95.0,37.0,146.0,146.0,0.5686808350121939,102.0,0.5686808350121939,102.0,37.0,0.6321095911554941,102.0,0.6321095911554941,102.0,146.0,-0.029794503808283346,999.0,-0.029794503808283346,999.0,146.0,-0.029794503808283346,999.0,-0.029794503808283346,999.0,23.0,0.26907827952145835,102.0,0.26907827952145835,102.0,41.0,0.21491707612431177,102.0,0.21491707612431177,102.0,95.0,-0.15494263378675424,999.0,-0.15494263378675424,999.0
ZIP,2025-06-01,2025-07-01,5.239999771118164,-0.29093371234252674,-0.03499080354088924,,,0.009542021549400426,2.0,-0.3358778299467581,28.0,,,,8.0,22.0,28.0,-0.2119341937267657,24.0,0.06584355679694553,45.0,8.0,0.11637930547227171,45.0,0.11637930547227171,45.0,22.0,0.15045616760696975,999.0,0.15045616760696975,999.0,28.0,0.35620689470901234,999.0,0.35620689470901234,999.0,8.0,0.11637930547227171,45.0,0.11637930547227171,45.0,22.0,0.15045616760696975,999.0,0.15045616760696975,999.0,28.0,0.35620689470901234,999.0,0.35620689470901234,999.0
