Header,Statement Date,2025-12-31,2025-12-31,2024-09-30,2025-12-31,2025-12-31,2022-06-30,2025-12-31,2025-12-31,2025-12-31,2021-03-31,2025-12-31,2025-12-31,2025-12-31,2017-11-30,2021-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2022-06-30,2022-06-30,2025-12-31,2022-09-30,2025-12-31,2023-03-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2024-03-31,2024-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31
Header,Filing Date,2026-02-04,2025-12-31,2024-10-23,2026-02-25,2026-02-11,2022-08-09,2026-01-30,2026-02-12,2026-02-03,2021-05-07,2026-02-19,2026-02-04,2026-02-19,2017-11-30,2021-10-28,2026-02-27,2026-02-27,2026-02-11,2026-02-13,2026-02-17,2026-02-18,2026-02-25,2025-11-06,2022-08-08,2022-08-08,2026-02-12,2022-11-08,2026-02-19,2023-04-28,2026-02-27,2026-03-02,2026-02-26,2026-02-12,2025-11-21,2024-04-29,2024-11-12,2026-02-12,2026-02-20,2026-02-25,2026-02-05,2026-02-27,2025-11-05,2025-11-05,2026-02-18,2026-02-04,2026-02-05,2026-02-19,2026-02-24,2026-02-13,2026-02-20,2026-03-02,2026-02-04,2026-02-09
Revenue & Margin,Segment-1,Pharmaceutical Distribution,-,"Electricity, US Regulated",Retirement Services Segment,"Natural Gas, Production",Subscription And Circulation,Commercial Airplanes Segment,Medical Products And Therapies,Shakes and other beverages,Property Tax Solutions,Commercial Segment,-,Natural gas and Oil Sales,North America,Waste And Service,Refined Product,Wholesale Marketing and Terminalling,U S Dialysis And Related Lab Services,Screening,Urban Solutions Segment,Product Sales,"E-Commerce, Omnichannel and Consumer Technology",Shipping and Handling,Subscriber revenue,Patient Care Centers,Global Records and Information Management Business,Campaign-based loyalty programs,Concerts,Timing of revenue recognition,Recurring Revenue,Passenger ticket,Recurring revenue,Oil and Gas Service,Cargo Sales,Product and Service,Other Revenue,Alcoholic Beverages,Chlor Alkali Products and Vinyls Segment,Electric Service,Cereal and Granola,"Product and Service, Other",Home,Home,Reportable Segment,Other Segments,Advertising Revenue,Sales revenue,Service,Product And Service Revenue,Product,Natural Gas,Service,-
Liquidity & Cash Flow,CCC,-9.434809520006027,67.01263025450446,-17.029962255321422,-196.1736227038689,25.519011953695518,23.089466133729815,368.52866781058344,119.75530683539802,94.77932056279963,-40.5491016836999,57.87262165030933,-9.28053763431528,-127.99377852088806,25.221181942564492,29.65312376605579,17.656503457667338,-45.078237260101346,59.46672128491235,41.678638100278356,22.55431208278445,11.862917315603568,31.785555149050317,110.81351443180466,56.916289935525455,68.8726011822113,-7.908674095420693,202.8651442609239,-31.842906823512187,149.67983739734035,29.06668611652534,8.670437883770933,48.02029118207471,44.07046851725291,-46.89584731919092,12.288937525429002,-52.112359233379166,36.21909173807002,58.9562590371642,44.76735945176219,45.19869545124949,-16.28838016032642,17.111167772379588,17.111167772379588,46.52346242822019,110.33335754231946,52.13193946967596,17.05521901943829,41.98402851771391,143.88796320422173,116.88637424111658,-15.394845517442079,118.19852900493258,211.37341430248603
Liquidity & Cash Flow,OCF,4288733000.0,200836000,1104000000,5396000000,1630930000,19953000,1065000000,845000000,254500000,612200000,-73000000,4288733000,899607000,72407000,310000000,1315000000,231545000,1886500000,491438000,-387000000,257872000,434000000,23159000.0,-25253000.0,76470000.0,1339999000,14297000.0,1395316000,108700000,356000000,2089746000,-210000000.0,951678000,-134645000,489419000,251368965,600000000,474200000,1805094999,923600000,688844881,-172000000,-172000000,325082000,446200000,656170000,1205000000,591889000,136050000,75129000,170349000,676000000,255711359
Liquidity & Cash Flow,CapEx,-681464000.0,-27375000,-3748000000,0,-52709000,-27089000,-2942000000,-522000000,-7600000,-96380000,-59000000,-681464000,-1349280000,-11215000,-154000000,-671000000,-273240000,-575864000,-134656000,-50000000,-186888000,-55269000,-31352000.0,-2672000.0,-20324000.0,-2325911000,-21012000.0,-1069537000,-63400000,-156000000,-3259606000,-165000000.0,-519523000,-1598413000,-146792000,-54286980,-239000000,-226300000,-2624618000,-371200000,-435313087,30000000,30000000,-29431000,-88100000,-218981000,-577000000,-394879000,-5935000,-27200000,-95877000,-226000000,-3634146
Liquidity & Cash Flow,FCF,3607269000.0,169636000,-2644000000,5396000000,1369812000,-7136000,-1877000000,323000000,246900000,515820000,-147000000,3607269000,-449673000,61192000,156000000,644000000,-43231000,1310636000,356782000,-437000000,70984000,378731000,-8193000.0,-27925000.0,56146000.0,-931629000,-6715000.0,333611000,45300000,200000000,-1169860000,-375000000.0,432155000,-1733058000,342627000,184267985,168000000,247900000,-819523000,436000000,310651610,-142000000,-142000000,295651000,358099999,437189000,628000000,193185000,130115000,47929000,74472000,450000000,252077213
BQR,Total Debt / Adj Ebitda,2.149623640464098,2.406328876926304,5.020868394479973,1.9212190914318574,3.0440044467252214,999,7.354268624252311,14.885844748858448,3.4892488954344625,3.1848708235091148,9.506024096385541,2.3105144172814294,2.1892873250135003,0.0,6.554089709762533,1.4269315673289182,0.126934582339505,7.104440065861276,54.35445574420409,4.053030318382691,999.0,22.35259822775424,7.400193238861001,999.0,6.355096507910816,10.213546730321722,999.0,7.391659269874201,5.801259622113366,0.29605263157894735,5.899340037965993,10.523809440287227,1.7057605725607676,999.0,5.724486685740363,3.842642944993267,6.612433862433862,5.430675641099385,8.512004704304601,5.483422778419042,5.394007914075749,999.0,999.0,1.8618197494547852,6.476690573770492,999,9.54949614700652,2.5742067135737705,999,1.671392297926365,0.8797294814834974,1.9762979683972912,999
BQR,Adj Ebitda / Interest Expense,13.979375225233769,8.23275192675436,6.100616016427105,28.625514403292183,20.166033316603333,-999,2.654637315048719,2.7605042016806722,4.587837837837838,-999,1.7291666666666667,10.203315834583243,6.050817560380077,-999,2.984251968503937,12.942857142857143,-999.0,3.853906133453647,1.6159604470596427,-999.0,-999.0,2.6566691729323306,1.9536452937443385,-999.0,3.375977596393566,2.2114962003267724,-999,10.164758315819986,2.6710280373831776,2.64808362369338,2.797402694247128,0.9264705955882353,7.132288196646614,-999.0,4.743940628544952,2.4901950833279063,2.197674418604651,3.3964110875475804,5.190993016133944,3.5731547123719465,3.250842266462481,-999.0,-999.0,-999,3.189542483660131,-999,3.1182994454713495,5.038156741975735,-999,3.2034519040103597,8.999326475630664,9.736263736263735,-999
BQR,Net Income before extraordinary,1625216000.0,290178000,1122000000,4481000000,634418000,-156000000,2235000000,-957000000,183000000,321099000,-170000000,1625216000,395611000,15230000,25000000,579000000,176460000,746803000,-207949000,-51000000,-440403000,32000000,330011000.0,-33148000.0,37293000.0,144591000,-496787000,495972000,34100000,169000000,423246000,42000000.0,216717000,-1277437000,206433000,23830657,-129000000,-42600000,616531000,319200000,60100000,-3390000000,-3455000000,67933000,89800000,-460489000,396000000,-6278000,-43544000,200684000,25277000,431000000,42763387
BQR,(NCO-CAPEX) / Total Debt (%),45.53635030709813,9.923907504941887,-17.724743581149024,40.377132595031426,26.666324044976104,-0.7004834474465631,-3.469629191467337,3.3026584867075663,20.84247847374641,29.105949334589766,-18.631178707224336,45.53635030709813,-15.235989045150635,999.0,6.280193236714976,19.925742574257427,-122.8956420388322,8.708551215552383,14.142868411966708,-40.8411214953271,2.334681285285068,4.795277285388706,-0.30738673626045443,-11.219951222844102,8.93740031263232,-4.890046660804672,-0.9393960166251412,2.6814672993949213,5.464414957780458,88.88888888888889,-8.009351660557835,-28.28054298642534,21.872505745800037,-18.620844375994807,10.079007781345716,14.764968253408632,3.3606721344268853,7.308372641509434,-4.59168051182438,5.845209207545146,5.42603943967023,-30.406852248394003,-30.406852248394003,134.23001312103588,14.16254692505438,9.300005913693264,3.898199875853507,9.886379686927471,82.48857275084477,9.056313570771286,57.596287703016245,25.69960022844089,30.49489584706897
BQR,Score: Operating Leverage,42,42,58,42,45,75,75,75,48,45,75,42,42,15,75,35,15,75,75,52,75,75,75,75,75,75,75,75,65,15,65,75,35,75,65,52,75,65,75,65,65,75,75,42,75,75,75,45,75,35,25,42,75
BQR,Score: ICR,35,45,48,25,25,75,58,58,52,75,65,42,48,75,58,35,75,58,65,75,75,58,65,75,58,65,75,42,58,58,58,75,48,75,52,65,65,58,48,58,58,75,75,75,58,75,58,48,75,58,45,45,75
BQR,Score: Net Income,25,35,25,15,35,75,25,75,42,35,75,25,35,52,52,35,42,35,75,75,75,48,35,75,48,42,75,35,48,42,35,48,35,75,35,52,75,75,35,35,45,75,75,45,42,75,35,65,75,35,48,35,48
BQR,Score: FCF/Debt,25,58,75,25,42,75,75,75,45,42,75,25,75,15,65,48,75,58,55,75,75,75,75,75,58,75,75,75,75,15,75,75,45,75,58,55,75,58,75,65,75,75,75,15,55,58,75,58,15,58,15,42,35
BQR,BQR,32.45,44.7,52.5,28.45,38.75,75.0,59.95,72.45,46.349999999999994,46.25,73.5,33.5,49.4,33.25,64.2,38.25,45.75,58.2,68.5,66.95,75.0,65.7,63.5,75.0,61.45,65.25,75.0,60.05,62.2,28.2,58.95,68.25,39.45,75.0,53.8,54.7,73.5,64.7,60.95,56.45,61.45,75.0,75.0,40.95,59.2,70.75,62.45,53.699999999999996,60.0,44.2,31.25,40.7,58.25
